name,n,n_squared,n_comparisons_total,n_comparisons_non_self,sum_scores_all,sum_scores_non_self,mean_score_all,mean_score_non_self,var_score_non_self,std_score_non_self,median_score_non_self,q25_score,q75_score,min_score,max_score,fraction_strong_binders,fraction_moderate_binders,fraction_weak_binders,log_n,sqrt_n,expected_random,enrichment_score,size_bin,z_score,effect_size,category,foldseek_match_coverage
RANDOM_MGC_50,4,16,4,0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.3862943611198906,2.0,0.3,3.3333333333333335,small,0.0,0.0,RANDOM,0.0
RANDOM_MGC_55,3,9,3,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0986122886681096,1.7320508075688772,0.3,3.3333333333333335,small,0.0,0.0,RANDOM,0.0
MGC_CANDIDATE_3,16,256,16,12,10.086,6.085999999999999,0.630375,0.5071666666666667,0.0007468787878787883,0.027329083187673683,0.5205,0.51075,0.65125,0.462,1.0,0.75,0.25,0.0,2.772588722239781,4.0,0.3,2.1012500000000003,medium,12.088769964629112,7.580447000143264,MGC,1.0
MGC_CANDIDATE_14,9,81,9,6,8.145999999999999,5.146,0.905111111111111,0.8576666666666667,1.306666666666669e-05,0.003614784456460259,0.86,0.86,1.0,0.853,1.0,1.0,0.0,0.0,2.197224577336219,3.0,0.3,3.0170370370370367,small,167.3989468527426,154.27383662392864,MGC,1.0
RANDOM_MGC_45,17,289,17,4,13.408000000000001,0.40800000000000003,0.7887058823529413,0.10200000000000001,5.9999999999999995e-05,0.007745966692414834,0.1,1.0,1.0,0.095,1.0,0.7647058823529411,0.0,0.23529411764705882,2.833213344056216,4.123105625617661,0.3,2.6290196078431376,medium,63.09165811821809,-25.561690084968948,RANDOM,0.0
RANDOM_MGC_98,9,81,9,2,7.183,0.183,0.7981111111111111,0.0915,4.500000000000008e-06,0.0021213203435596446,0.0915,1.0,1.0,0.09,1.0,0.7777777777777778,0.0,0.2222222222222222,2.197224577336219,3.0,0.3,2.6603703703703703,small,234.81182963402145,-98.28784258493,RANDOM,0.0
RANDOM_MGC_25,3,9,3,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0986122886681096,1.7320508075688772,0.3,3.3333333333333335,small,0.0,0.0,RANDOM,0.0
MGC_CANDIDATE_16,9,81,9,6,7.803999999999999,4.804,0.867111111111111,0.8006666666666667,0.004686666666666667,0.06845923361144694,0.7585,0.757,1.0,0.753,1.0,1.0,0.0,0.0,2.197224577336219,3.0,0.3,2.8903703703703703,small,8.283924332689075,7.313354828192983,MGC,1.0
MGC_CANDIDATE_17,9,81,9,6,5.747,2.747,0.6385555555555555,0.4578333333333333,0.020470966666666666,0.14307678591115564,0.378,0.377,1.0,0.353,1.0,0.5555555555555556,0.4444444444444444,0.0,2.197224577336219,3.0,0.3,2.1285185185185185,small,2.366250775061327,1.1031372582785082,MGC,0.6666666666666666
MGC_CANDIDATE_5,3,9,3,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0986122886681096,1.7320508075688772,0.3,3.3333333333333335,small,0.0,0.0,MGC,0.0
